,id,stationCode,stationName,location
911,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101541,G6 Food Court,"{'type': 'Point', 'coordinates': [77.71502581, 12.94689467]}"
912,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101542,Next to Vaswani Augusta,"{'type': 'Point', 'coordinates': [77.648325000001, 12.9465266666667]}"
913,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101543,"Salarpuria Oasis, Koramangala","{'type': 'Point', 'coordinates': [77.6277194917202, 12.937601498122763]}"
914,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101544,"Agara Signal, Koramangala","{'type': 'Point', 'coordinates': [77.65165451914073, 12.924177632235645]}"
915,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101546,Opposite A2B,"{'type': 'Point', 'coordinates': [77.65078, 12.83874]}"
916,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101547,Prestige Sunrise Park,"{'type': 'Point', 'coordinates': [77.66417, 12.83224]}"
917,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101549,Somondoville 2.0,"{'type': 'Point', 'coordinates': [77.66053900122641, 12.821076448247478]}"
918,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101550,GM Infinity E City Town,"{'type': 'Point', 'coordinates': [77.6636604219675, 12.819279379346808]}"
919,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101551,"Asra point NGV signal, Koramangala","{'type': 'Point', 'coordinates': [77.62245457, 12.94268823]}"
920,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101552,Garden City University,"{'type': 'Point', 'coordinates': [77.6371133333333, 12.979956666666665]}"
